contentId,If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
6.03195E+18,O chefe é gay. E daí?,A saga do jovem CEO da Dasa,"Por dentro do Nubank, conheça os segredos da fintech mais festejada do país",O que é liderança? Liderança é fazer a diversidade funcionar.,"Entrevista com Alejandro Formanchuk: ""Funcionário não é público interno - é ator extremo"" - Blog do Love Mondays",Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi
-1.67638E+18,Microsoft and Bank of America Merrill Lynch Collaborate to Transform Trade Finance Transacting With Azure Blockchain as a Service,Blockchain Will Be Used By 15% of Big Banks By 2017,Where is the bank's digital vision? - Chris Skinner's blog,Adobe and Microsoft Partner in the Azure Cloud to Help Businesses Transform Customer Engagement,Digital Tool as Strategic Enabler for Banking Transformation,Blockchain startup R3 cuts fund-raising target to $150 million: source
8.90029E+18,"A Neural Network for Machine Translation, at Production Scale",Google's new translation software is almost as good as human translators,"Google Cloud Machine Learning family grows with new API, editions and pricing",Why Deep Learning Is Suddenly Changing Your Life,Machine Learning Is No Longer Just for Experts,How real businesses are using machine learning
8.73416E+18,Bitcoin Accepted! German Energy Giant Enables Payments - CCN: Financial Bitcoin & Cryptocurrency News,4 Blockchain Macro Trends: Where to Place Your Bets,3 Big Blockchain Ideas MIT is Working on Right Now - CoinDesk,"Facebook Messenger now supports PayPal payments in bots, will track your PayPal receipts",Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk,Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk
6.81724E+18,Desenvolvimento de Aplicativos Mobile com Xamarin -,"Microsoft Is Now 'Open By Default', Says Xamarin Founder Miguel de Icaza",Introducing Docker for Windows Server 2016 - Docker Blog,"Windows 10 Mobile news recap: Nadella teases ""ultimate"" device, Surface Phone spec rumors and more | On MSFT",Comment: IBM's Apple deployment stats should be a lesson to enterprise companies everywhere,Curso mbed na KL25Z - Primeiros passos - Embarcados
-7.4423E+18,Today in Apple history: 'Here's to the crazy ones...' | Cult of Mac,Today in Apple history: Steve Jobs passes away | Cult of Mac,Today in Apple history: Steve Jobs passes away | Cult of Mac,Today in Apple history: World prepares for the NeXT Computer | Cult of Mac,Today in Apple history: iCloud takes our files and photos to the sky | Cult of Mac,Breaking: Apple's Search Ads go LIVE!
-8.85886E+17,"Onion Creates a $5 Linux Computer with Wi-Fi, Designed for IoT Applications",The new 64-bit Orange Pi is a quad-core computer for $20,Announcing new storage classes for Google Cloud Storage: simplifying the storage and management of hot and cold data,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,Asus ready to take bite of 'Pi' market with Tinker micro PC,Node.js Best Practices - How to Become a Better Developer in 2017 | @RisingStack
-3.23193E+18,Facebook vai lançar sua nova rede social corporativa no mês que vem,Como o Trello foi de 4 a 17 milhões de usuários,"Facebook lança Workplace, versão da rede social para empresas",Especialistas trazem tendências de UX para 2017 - KingHost,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi
4.43052E+18,"Facebook, Amazon, Google, IBM and Microsoft come together to create historic Partnership on AI",Here's how The White House wants the U.S. to approach AI R&D,Andrew Ng: What AI Can and Can't Do,Democratizing AI,Top 10 Hot Artificial Intelligence (AI) Technologies,The Competitive Landscape for Machine Intelligence
-7.19161E+18,Introducing the Open Images Dataset,Google DeepMind researchers built a deep-learning system capable of learning from very little data.,Labelling automated builds on Docker Hub - Microscaling Systems,Why Deep Learning Is Suddenly Changing Your Life,"Google Cloud Machine Learning family grows with new API, editions and pricing",ŷhat | Classifying handwritten digits using TensorFlow
-7.63884E+18,Introducing Docker for Windows Server 2016 - Docker Blog,"Use Docker to build, test and push your Artifacts",containerd - a core container runtime project for the industry - Docker Blog,Labelling automated builds on Docker Hub - Microscaling Systems,"Windows 10 Mobile news recap: Nadella teases ""ultimate"" device, Surface Phone spec rumors and more | On MSFT","Docker - Build, Ship, and Run Any App, Anywhere"
4.7855E+18,The new tech talent you need to succeed in digital,Digital Leadership Is Not an Optional Part of Being a CEO,Rewiring Citi for the digital age,12 Agile principles,The Competitive Landscape for Machine Intelligence,The Competitive Landscape for Machine Intelligence
2.61733E+18,Negociação deve garantir ocupação de shoppings até 2017 | EXAME.com,Black Friday salva o ano do e-commerce,A saga do jovem CEO da Dasa,Especialistas trazem tendências de UX para 2017 - KingHost,"SulAmérica continua investindo, apesar da crise - Sonho Seguro","SINAIS do FUTURO imediato: #1, internet das coisas"
8.63162E+18,Blockchain Will Be Used By 15% of Big Banks By 2017,Mapping the Global NeoBank Landscape - Techfoliance,Digital Tool as Strategic Enabler for Banking Transformation,Blockchain startup R3 cuts fund-raising target to $150 million: source,4 Blockchain Macro Trends: Where to Place Your Bets,Microsoft and Bank of America Merrill Lynch Collaborate to Transform Trade Finance Transacting With Azure Blockchain as a Service
-6.88434E+18,"Largest botnet attack in history peaks at over 1 terabits per second, aided by Internet of Things",The internet of stings,"IoT Insurance: Trends in Home, Life & Auto Insurance Industries","The Three R's of Enterprise Security: Rotate, Repave, and Repair - Built to Adapt",Relating a Problem Definition to IoT Architecture | Intel® Software,Announcing updates to Google's Internet of Things platform: Android Things and Weave
-4.67324E+18,Blog | Niantic,Bringing Pokémon GO to life on Google Cloud,Google's Cloud Machine Learning service is now in public beta,What Happens When No One and Everyone Owns a Product? - Built to Adapt,Cloud Native Part 1: Definition,Google Cloud Platform sets a course for new horizons
-5.1544E+18,Innovation is in all the wrong places,Large CPGs are under attack by startups... and consumers are winning,We are on the verge of a consumer M&A avalanche,"9 trends you need to watch at CES 2017, from 'AI' assistants to 'AR' devices",The new tech talent you need to succeed in digital,Digital Leadership Is Not an Optional Part of Being a CEO
-6.24475E+18,The Best Advice From Quora on 'How to Learn Machine Learning',How real businesses are using machine learning,Machine Learning Is No Longer Just for Experts,Stop Coding Machine Learning Algorithms From Scratch - Machine Learning Mastery,Google's Cloud Machine Learning service is now in public beta,"Google Cloud Machine Learning family grows with new API, editions and pricing"
-5.45832E+18,The future of traditional retail is digital,"Samsung, SapientRazorfish Show IoT Retail Approach At NRF",Large CPGs are under attack by startups... and consumers are winning,Six iconic retailers and their digital transformation journeys,Five things to include in your digital transformation playbook,Where is the bank's digital vision? - Chris Skinner's blog
5.21167E+18,Google Cloud Platform sets a course for new horizons,Google's Cloud Machine Learning service is now in public beta,"Google Cloud Machine Learning family grows with new API, editions and pricing",8 must-see sessions for application developers at Google Cloud Next '17,Announcing new storage classes for Google Cloud Storage: simplifying the storage and management of hot and cold data,Lessons from Becoming a Data-Driven Organization
-5.62834E+18,Digital development with online check-in and mobile room keys,Five things to include in your digital transformation playbook,Where is the bank's digital vision? - Chris Skinner's blog,Digital Tool as Strategic Enabler for Banking Transformation,Six iconic retailers and their digital transformation journeys,My Approach to Mobile Accessibility Testing - Ministry of Testing
2.25588E+18,Six iconic retailers and their digital transformation journeys,"Samsung, SapientRazorfish Show IoT Retail Approach At NRF",The future of traditional retail is digital,Five things to include in your digital transformation playbook,Digital Tool as Strategic Enabler for Banking Transformation,Banking Needs a Customer Experience Wake-Up Call
6.58764E+18,Save time with Quick Access in Drive,"Explore in Docs, Sheets and Slides makes work a breeze - and makes you look good, too",Support your Gmail users more easily with revamped bounce messages and message headers,Introducing Google Cloud Search: Bringing the power of Google Search to G Suite customers,Introducing Google Cloud Search: Bringing the power of Google Search to G Suite customers,New Early Adopter Programs: Team Drives and a new Hangouts video meetings experience
-1.15059E+18,Digitization and The Loss of Iconography - Posted by SYPartners,Understanding User Psychology: Thinking Like a Game Designer,Marketing To Millennials: 'Dope' Takeaways From 'Just Dance 2017',Introducing Ask a Female Engineer,What to look for in a code review ,"Life Coach vs. Therapist, Learn the Difference | Tony Robbins"
-2.42498E+18,All Together Now. Introducing G Suite.,Customize your G Suite experience with App Maker and Recommended apps,Slack and Google announce partnership focused on better integrating their services,"[Situation Wall] Jamboard - the whiteboard, reimagined for collaboration in the cloud",New Early Adopter Programs: Team Drives and a new Hangouts video meetings experience,Google Cloud Platform sets a course for new horizons
-3.06174E+18,"Explore in Docs, Sheets and Slides makes work a breeze - and makes you look good, too",Save time with Quick Access in Drive,New Early Adopter Programs: Team Drives and a new Hangouts video meetings experience,Support your Gmail users more easily with revamped bounce messages and message headers,7 Vital SEO Trends for Google Rankings in 2017 | Digital Current,"Practical advice for analysis of large, complex data sets"
-6.20767E+18,How CIOs Leverage Business Intelligence to Drive Smarter Decision-Making,The Competitive Landscape for Machine Intelligence,The Competitive Landscape for Machine Intelligence,The new tech talent you need to succeed in digital,Lessons from Becoming a Data-Driven Organization,Digital Leadership Is Not an Optional Part of Being a CEO
5.39587E+18,Large CPGs are under attack by startups... and consumers are winning,We are on the verge of a consumer M&A avalanche,The future of traditional retail is digital,The Sweet Way that Gamification Helps M&M's Boost Consumer Engagement - Gamification Co,Innovation is in all the wrong places,Adobe Announces Cross-Device Co-op to Enable People-Based Marketing
8.8645E+17,New Early Adopter Programs: Team Drives and a new Hangouts video meetings experience,12 Agile principles,Why do you Fail at Growth Marketing and How to Solve it,What Happens When No One and Everyone Owns a Product? - Built to Adapt,"[Situation Wall] Jamboard - the whiteboard, reimagined for collaboration in the cloud",Slack and Google announce partnership focused on better integrating their services
-2.4877E+18,"Google saves Allo conversations, a win for machine learning but a loss for privacy - Tech2",Google's Cloud Machine Learning service is now in public beta,7 Vital SEO Trends for Google Rankings in 2017 | Digital Current,"Spanner, the Google Database That Mastered Time, Is Now Open to Everyone",Google's new translation software is almost as good as human translators,"Google Cloud Machine Learning family grows with new API, editions and pricing"
-6.76116E+18,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,"Por dentro do Nubank, conheça os segredos da fintech mais festejada do país",Como o Trello foi de 4 a 17 milhões de usuários,Especialistas trazem tendências de UX para 2017 - KingHost,"SINAIS do FUTURO imediato: #1, internet das coisas"
