contentId,If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-9192549002213406534,Chrome OS now has Material Design for the desktop,Progressive Web App - first introduced on Google I/O | airberlin,Alecrim/AlecrimCoreData,Acesse a versão Material Design do YouTube | Google Discovery,What Color is Your Function?,Benchmarks for the Top Server-Side Swift Frameworks vs. Node.js
-9189659052158407108,Eddy Cue and Craig Federighi Open Up About Learning From Apple's Failures,Google Cloud Platform's preemptible VMs are now up to 33% cheaper,Cubr,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,Google may be considering Swift for use on Android,Do You Suffer From Deployment Anxiety? - DZone DevOps
-9176143510534135851,Livraria dá adeus a estoque e imprime livros na hora,Up your app's sharing game with DirectShare - Google Developers,Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC,The barbell effect of machine learning.,How Mark Zuckerberg Led Facebook's War to Crush Google Plus,Shopping app Spring's redesign could be a game-changer
-9160910454530522563,"Apple's new file manager, APFS, is awesome",The End Of Apple Man,A New Number Format for Computers Could Nuke Approximation Errors for Good,CSS Containment in Chrome 52 | Web Updates - Google Developers,"Apple File System (APFS) announced for 2017, scales 'from Apple Watch to Mac Pro' and focuses on encryption",Facebook's WhatsApp does something very different than Google
-9128741757954228992,Confirmed: Walmart buys Jet.com for $3B in cash,A step-by-step guide to agile growth experiments,Mary Meeker's essential 2016 Internet Trends Report,"Adobe, Acquia, Episerver Lead New Forrester WCM Wave",Why Evernote Is Giving Up on Its Data Centers for Google Cloud,7 Questions to Ask Before Your Next Digital Transformation
-9086955082453789880,We are on the verge of a consumer M&A avalanche,Innovation is in all the wrong places,The new tech talent you need to succeed in digital,The economic essentials of digital strategy,Meet the new Brazilian consumer,7 Questions to Ask Before Your Next Digital Transformation
-9033211547111606164,Google's Cloud Machine Learning service is now in public beta,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,"Hello, TensorFlow!",Blaise Agüera y Arcas: How computers are learning to be creative,Machine Learning and the VP Debate,Google researchers teach AIs to see the important parts of images - and tell you about them
-9028990334396397584,Xamarin for Everyone,Google may be considering Swift for use on Android,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,​Microsoft and Canonical partner to bring Ubuntu to Windows 10 | ZDNet,JetBrains DataGrip: Your Swiss Army Knife for Databases and SQL,Announcing .NET Core 1.0
-9019582414165805420,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,Can Accenture Take Over Advertising?,MOBILE TIME - FlyHelo: app permite compartilhamento de jatos e helicópteros em São Paulo,Governo define cronograma para plano nacional de Internet das Coisas,Assessing Salesforce's platform and ecosystem | ZDNet,MOBILE TIME - Youse: seguradora digital se diferencia através da interface móvel
-9019233957195913605,Berners-Lee quer criar outra Web,Learning How to Learn: The Most Important Developer Skill - Free Code Camp,Lists are the new search,"Autofill: What web devs should know, but don't",Beyond Progressive Web Apps Part 1,Joel on Software
-8992803137960175254,4 Reasons Managers Should Spend More Time on Coaching,Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,Sam Newman - Backends For Frontends,Ordering coffee in Italy: the 10 commandments,This Super Accurate Portrait Selection Tech Uses Neural Networks,Artificial intelligence is changing SEO faster than you think
-8992201526199201450,15 Awesome Sublime Text Plugins For Web Development,Modelando APIs REST com Swagger,Most Interesting APIs in 2016: Cognitive Computing,Machine Learning Is No Longer Just for Experts,Duolingo's chatbots help you learn a new language,How to build cross-platform mobile apps using nothing more than a JSON markup
-8964534883296838326,Why Evernote Is Giving Up on Its Data Centers for Google Cloud,Google Cloud Platform sets a course for new horizons,Transfer Style But Not Color,Google's Cloud Machine Learning service is now in public beta,Confused by blockchains? Revolution vs Evolution,Bradesco vai testar tecnologia por trás do bitcoin em São Paulo
-8954346068661072425,The technology behind preview photos,Combining Spring Boot and JDBI,Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,Advanced Android Espresso,Standing on the Shoulders of Giants - Built to Adapt,Android Studio 2.2
-8950763842769120954,Mobify report reveals impact of mobile website speed,bliki: StranglerApplication,Criando ícones animados no Android,Things you probably didn't know you could do with Chrome's Developer Console,Google Cloud Platform's preemptible VMs are now up to 33% cheaper,Bringing easy and fast checkout with Payment Request API | Web Updates - Google Developers
-8949113594875411859,"No Brasil, '25% dos celulares ainda são 'Burrofones'",Mobile marketing statistics 2016,A digital crack in banking's business model,The rise of APIs,The End Of Apps As We Know Them - Inside Intercom,Accidental discovery could help batteries last years longer
-8948234514303933700,Nova pulseira tecnológica avisa se você já bebeu demais,Aplicação de visão computacional com OpenCV,"Google anuncia Android Things, plataforma para a Internet das Coisas | Google Discovery",Using behavioral data to improve customer satisfaction,Google is testing a new Material Design layout for desktop searches,Governo abre consulta pública para Plano Nacional de IoT | NOTÍCIAS - Brasscom
-8900113512825364282,Banking Needs a Customer Experience Wake-Up Call,"Within a Decade, Retail Banks will be Dead",Engineering Digital Banking Solutions Using UX Methodology,XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês,Measuring email effectiveness in retail banking,Google cloud boss Diane Greene: We're winning against AWS and Microsoft
-8854146354650101086,"Within a Decade, Retail Banks will be Dead",Banking Needs a Customer Experience Wake-Up Call,Is FinTech Forcing Banking to a Tipping Point?,Latin America's chronic inefficiency could drive more O2O commerce growth,Piloto de caça criado por inteligência artificial vence humano em combate simulado,How This Former Google Engineer Is Bringing Blockchain to Banks
-8813724423497152538,Itaú é pioneiro do blockchain,Brazil's Banco Bradesco Joins R3 Consortium - CoinDesk,The Drive to Bank on Digital,Transfer Style But Not Color,Prisma for Android is now live for all in the Google Play Store,A New Number Format for Computers Could Nuke Approximation Errors for Good
-8800029253812071912,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack","Google acquires Synergyse, an interactive training service for Google Apps",Designing smart notifications,Seria Stranger Things uma obra de arte do algoritmo da Netflix?,Google acquires deep search engine Kifi to enhance its Spaces group chat app,Up your app's sharing game with DirectShare - Google Developers
-8771338872124599367,Funcionários do mês no CoolHow: os Slackbots - CoolHow Creative Lab,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning",The AI business landscape,Google researchers teach AIs to see the important parts of images - and tell you about them,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",The return of the machinery question
-8757701761088346244,Promises | Web Fundamentals - Google Developers,The Definitive Guide to Database Version Control,The next wave in software is open adoption software,The Difference Between Sympathy And Empathy - Expanded Consciousness,What to Expect at WWDC 2016,How Netflix does A/B Testing - uxdesign.cc - User Experience Design
-8742648016180281673,Aposta na inovação,"Novo workaholic trabalha, pratica esportes e tem tempo para a família. Conheça",Diane Greene wants to put the enterprise front and center of Google Cloud strategy,Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,O homofóbico dentro de cada um,A minha viagem à Maternidade #tetodomundo
-8717945432162716060,7 Vital SEO Trends for Google Rankings in 2017 | Digital Current,How Coca-Cola Is Harvesting Innovation Energy From Startups,"Have a Coke, take a photo and celebrate the Coke bottle's 100th anniversary using How-Old.net",O manual do deboísta corporativo,"Coca-Cola é 1ª da lista ""Fortune"" a repor toda a água usada | EXAME.com",Concrete things you can do about your technical debt
-8657415528200615063,WebAssembly Browser Preview,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,"Microsoft lança Teams, nova plataforma de chat concorrente do Slack | MacMagazine.com.br",Up your app's sharing game with DirectShare - Google Developers,Seria Stranger Things uma obra de arte do algoritmo da Netflix?
-8627051188605351707,When to make a Git Commit,Don't document your code. Code your documentation.,Mastering Bash and Terminal,"What do you mean by ""Event-Driven""?",Seniority,Introduction · Bitcoin para Programadores
-8618420761918493321,What the Google I/O schedule tells us about the future of Android,Designing smart notifications,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Graph Capabilities with the Elastic Stack,Getting Started with Activity & Fragment Transitions (part 1),5 reasons your employees aren't sharing their knowledge
-8606063418076691067,"Kotlin in Production - What works, Whats broken",Combining Spring Boot and JDBI,Kotlin no Backend (Parte 2) :: Concrete Solutions,Standing on the Shoulders of Giants - Built to Adapt,Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture
-8518096793350810174,"Microsoft adquire LinkedIn por US$ 26,2 bilhões",Shopping app Spring's redesign could be a game-changer,Staying one step ahead at Pixar: An interview with Ed Catmull,The barbell effect of machine learning.,Ordering coffee in Italy: the 10 commandments,Ray Kurzweil: The world isn't getting worse - our information is getting better
-8512461968928613053,Bringing easy and fast checkout with Payment Request API | Web Updates - Google Developers,The Business Case for Progressive Web Apps,"HoloLens, da Microsoft, engana o usuário para consertar conexões falhas do cérebro",You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,Itaú segue tendência das fintechs e se torna primeiro banco tradicional a permitir abertura de contas por app - Startupi,Accidental discovery could help batteries last years longer
-8511291357261863413,Dark Scrum,Lists are the new search,Up your app's sharing game with DirectShare - Google Developers,Clean Coder Blog,Learning How to Learn: The Most Important Developer Skill - Free Code Camp,It's The Future
-8508606815368130888,Revista PROGRAMAR nº 53 - Agosto de 2016,The moment when you realize every server in the world is vulnerable - Free Code Camp,Quick Tip: Working with the JavaScript Battery API,How I sped up the initial render of my Polymer app by 86%,Slack and Google announce partnership focused on better integrating their services,Chat Smarter with Allo
-8467102776052559275,Creating Your Code Review Checklist - DaedTech,The Importance of Code Reviews,Serverless real-time architecture on AWS: there is a way !,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture,On DRY and the cost of wrongful abstractions,The Children's Illustrated Guide to Kubernetes
-8404657131309965885,Visa vai testar nas Olimpíadas do Rio um anel para pagamentos,"Google lança Science Journal, aplicativo de ciências para Android | Google Discovery",Par de alianças impede que seu parceiro assista Netflix sem você,Google is quietly recording everything you say. Here's how to hear it,Google Cloud Goes to the Farm,Evernote anuncia integração com Google Drive | Google Discovery
-8381230866408697127,Inteligência artificial da IBM criou 'trailer perfeito' para filme,Um bilhão de arquivos mostram quem vence a disputa tabs vs. espaços entre programadores,A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',Google's cloud platform is now a force to be reckoned with,Samsung lança dispositivo para deixar carro conectado a partir de chip 4G - Link - Estadão,Why Silicon Valley is all wrong about Apple's AirPods - Chris Messina
